# candidate_labels.txt -- auto-label review sheet (STEP 1 output)
# split=train min_conf=0.95 overlap_iou=0.2 checkpoint=checkpoints/tuned/best.pth
# Review the photos in results/auto_label/review/ , then set the
# DECISION column to  approve  or  reject  (default: pending).
# Commit approved labels with:  python approve_labels.py --commit
# The original data/labels/*.txt files are NOT modified by this script.
# id | decision | image_id | label_file | class | yolo_id | conf | cx | cy | w | h
C00001 | pending | 568_jpg.rf.4171bd90e250c7b14afb89020e49f920.jpg | 568_jpg.rf.4171bd90e250c7b14afb89020e49f920.txt | yawn | 2 | 0.9671 | 0.57168 | 0.400108 | 0.224726 | 0.378495
C00002 | committed | 722_jpg.rf.86a48facbee0ff0db2c438fd2d8b7968.jpg | 722_jpg.rf.86a48facbee0ff0db2c438fd2d8b7968.txt | yawn | 2 | 0.952 | 0.596204 | 0.426209 | 0.430768 | 0.237523
C00003 | committed | closed_eye_1270-jpg_face_1_jpg.rf.a40fde46b09d9d8d47d00bf5c1d6517b.jpg | closed_eye_1270-jpg_face_1_jpg.rf.a40fde46b09d9d8d47d00bf5c1d6517b.txt | closed_eye | 0 | 0.9569 | 0.712702 | 0.390825 | 0.233204 | 0.108372
C00004 | pending | 234_jpg.rf.f25941ee6b7b684f9f896ef6136882a8.jpg | 234_jpg.rf.f25941ee6b7b684f9f896ef6136882a8.txt | closed_eye | 0 | 0.9777 | 0.476918 | 0.177401 | 0.131988 | 0.095419
C00005 | pending | 130_jpg.rf.556b0539cd774c412b39100a80cd131b.jpg | 130_jpg.rf.556b0539cd774c412b39100a80cd131b.txt | yawn | 2 | 0.9589 | 0.424781 | 0.544905 | 0.376897 | 0.201662
C00006 | pending | 1018882799_1_jpg.rf.48de42b17aaf8f011b6dc68cf6a5a9b4.jpg | 1018882799_1_jpg.rf.48de42b17aaf8f011b6dc68cf6a5a9b4.txt | open_eye | 1 | 0.9816 | 0.569254 | 0.488916 | 0.078809 | 0.057821
C00007 | committed | closed_eye_1768-jpg_face_1_jpg.rf.140f9696e183abd6ea6463a110f30d87.jpg | closed_eye_1768-jpg_face_1_jpg.rf.140f9696e183abd6ea6463a110f30d87.txt | closed_eye | 0 | 0.9667 | 0.314787 | 0.464118 | 0.187306 | 0.155667
C00008 | committed | _510_jpg.rf.5b0f1a87fce424ad14c168abaa2878eb.jpg | _510_jpg.rf.5b0f1a87fce424ad14c168abaa2878eb.txt | open_eye | 1 | 0.9698 | 0.573999 | 0.526947 | 0.852002 | 0.946106
C00009 | committed | 1878_jpg.rf.9cd0e7797f35bd35eca500ac210bfb48.jpg | 1878_jpg.rf.9cd0e7797f35bd35eca500ac210bfb48.txt | open_eye | 1 | 0.9689 | 0.80342 | 0.448845 | 0.393161 | 0.857332
C00010 | committed | closed_eye_1542-jpg_face_1_jpg.rf.b2a72715054cfdabc4e13fb70dd233ca.jpg | closed_eye_1542-jpg_face_1_jpg.rf.b2a72715054cfdabc4e13fb70dd233ca.txt | closed_eye | 0 | 0.98 | 0.584067 | 0.302768 | 0.107411 | 0.21876
C00011 | committed | 368_jpg.rf.6dc65aca2f8ac3857e60e80381575a9d.jpg | 368_jpg.rf.6dc65aca2f8ac3857e60e80381575a9d.txt | yawn | 2 | 0.9798 | 0.49961 | 0.62605 | 0.616857 | 0.294399
C00012 | committed | 1061_jpg.rf.a4c45185d4b248faabb0e227d84c6c48.jpg | 1061_jpg.rf.a4c45185d4b248faabb0e227d84c6c48.txt | open_eye | 1 | 0.9602 | 0.576857 | 0.552787 | 0.656521 | 0.894425
C00013 | committed | 1864_jpg.rf.d224bfe280a521db444a4dd26c36ab92.jpg | 1864_jpg.rf.d224bfe280a521db444a4dd26c36ab92.txt | open_eye | 1 | 0.9791 | 0.473382 | 0.199002 | 0.823501 | 0.398003
C00014 | committed | 480_jpg.rf.814825f2b8e97d63dc95fe99e4c078d3.jpg | 480_jpg.rf.814825f2b8e97d63dc95fe99e4c078d3.txt | yawn | 2 | 0.9628 | 0.5 | 0.442895 | 1.0 | 0.636536
C00015 | committed | Gleb_jpg.rf.b6eabced6f4f1a63f29c50a91250120f.jpg | Gleb_jpg.rf.b6eabced6f4f1a63f29c50a91250120f.txt | open_eye | 1 | 0.9774 | 0.662632 | 0.344324 | 0.146068 | 0.05167
C00016 | committed | 372_jpg.rf.f433a76486dd322be6b681c77183795e.jpg | 372_jpg.rf.f433a76486dd322be6b681c77183795e.txt | open_eye | 1 | 0.9616 | 0.588356 | 0.734465 | 0.047928 | 0.056157
C00017 | committed | 372_jpg.rf.f433a76486dd322be6b681c77183795e.jpg | 372_jpg.rf.f433a76486dd322be6b681c77183795e.txt | open_eye | 1 | 0.953 | 0.56338 | 0.628509 | 0.052408 | 0.064847
C00018 | committed | 1592_jpg.rf.3c366c969e9de5da40f1cb25a18bd9bf.jpg | 1592_jpg.rf.3c366c969e9de5da40f1cb25a18bd9bf.txt | open_eye | 1 | 0.9891 | 0.593944 | 0.301294 | 0.812111 | 0.559357
C00019 | committed | 45_jpg.rf.2b7c2400c97e273d99d0e540e25e54df.jpg | 45_jpg.rf.2b7c2400c97e273d99d0e540e25e54df.txt | yawn | 2 | 0.9679 | 0.354804 | 0.569195 | 0.608629 | 0.350691
C00020 | committed | 712_jpg.rf.3f234d150c9805104a2c36b074dd6340.jpg | 712_jpg.rf.3f234d150c9805104a2c36b074dd6340.txt | yawn | 2 | 0.979 | 0.469463 | 0.287062 | 0.196324 | 0.361427
C00021 | committed | closed_eye_1132-jpg_face_1_jpg.rf.ee299c82542a59d70f92d61e0edf23f9.jpg | closed_eye_1132-jpg_face_1_jpg.rf.ee299c82542a59d70f92d61e0edf23f9.txt | closed_eye | 0 | 0.9595 | 0.642027 | 0.642629 | 0.177393 | 0.109222
C00022 | committed | 1030_jpg.rf.a0cce89a4760373d434404fcab5bf318.jpg | 1030_jpg.rf.a0cce89a4760373d434404fcab5bf318.txt | open_eye | 1 | 0.9597 | 0.522681 | 0.527992 | 0.649588 | 0.944015
C00023 | committed | 396_jpg.rf.74055d9a6913f16bc1ed72b496c1cf39.jpg | 396_jpg.rf.74055d9a6913f16bc1ed72b496c1cf39.txt | open_eye | 1 | 0.967 | 0.457468 | 0.461099 | 0.073409 | 0.089446
C00024 | committed | 1864_jpg.rf.962e4ac72d4d55caabec8973421f470d.jpg | 1864_jpg.rf.962e4ac72d4d55caabec8973421f470d.txt | open_eye | 1 | 0.957 | 0.439803 | 0.845292 | 0.85274 | 0.309417
C00025 | committed | 512_jpg.rf.b3496fb88cdc6e8621fbd1d239593464.jpg | 512_jpg.rf.b3496fb88cdc6e8621fbd1d239593464.txt | yawn | 2 | 0.9641 | 0.484882 | 0.730788 | 0.569405 | 0.321469
C00026 | committed | 603_jpg.rf.30de9c527a88e7d3f22f6bc6b7d5c97f.jpg | 603_jpg.rf.30de9c527a88e7d3f22f6bc6b7d5c97f.txt | yawn | 2 | 0.9518 | 0.467353 | 0.438056 | 0.722208 | 0.351595
C00027 | committed | 156_jpg.rf.b9561637ad14d65ab99ddab0fb986b00.jpg | 156_jpg.rf.b9561637ad14d65ab99ddab0fb986b00.txt | yawn | 2 | 0.9581 | 0.551963 | 0.400248 | 0.174598 | 0.367116
C00028 | committed | 277_jpg.rf.1ee0b0ed35fd4096e15c5de65f523491.jpg | 277_jpg.rf.1ee0b0ed35fd4096e15c5de65f523491.txt | yawn | 2 | 0.9544 | 0.470736 | 0.477261 | 0.619312 | 0.277989
C00029 | committed | closed_eye_2648-jpg_face_1_jpg.rf.43300e1daa95f47a4208ef9f7dfc34b1.jpg | closed_eye_2648-jpg_face_1_jpg.rf.43300e1daa95f47a4208ef9f7dfc34b1.txt | closed_eye | 0 | 0.9806 | 0.746659 | 0.362091 | 0.249211 | 0.120782
C00030 | committed | 1864_jpg.rf.7832870d9cbaba8055c40035764a04af.jpg | 1864_jpg.rf.7832870d9cbaba8055c40035764a04af.txt | open_eye | 1 | 0.985 | 0.488469 | 0.215856 | 0.816605 | 0.431712
C00031 | pending | 439_jpg.rf.d1b43d39ce0f5aec458c117c4ccf3ab2.jpg | 439_jpg.rf.d1b43d39ce0f5aec458c117c4ccf3ab2.txt | closed_eye | 0 | 0.9523 | 0.748508 | 0.44861 | 0.09827 | 0.065168
C00032 | committed | 369_jpg.rf.c820eccc32aeff10a37ae4a786c4aaca.jpg | 369_jpg.rf.c820eccc32aeff10a37ae4a786c4aaca.txt | yawn | 2 | 0.9651 | 0.627496 | 0.474048 | 0.272488 | 0.520193
C00033 | committed | 156_jpg.rf.7b6b32cd0253a65cacdfbbaaa64b829c.jpg | 156_jpg.rf.7b6b32cd0253a65cacdfbbaaa64b829c.txt | yawn | 2 | 0.9609 | 0.550173 | 0.398586 | 0.18029 | 0.353437
C00034 | committed | 697_jpg.rf.7c7caea7ede36cf35aead0840af55ef7.jpg | 697_jpg.rf.7c7caea7ede36cf35aead0840af55ef7.txt | yawn | 2 | 0.9726 | 0.535701 | 0.440548 | 0.194555 | 0.343831
C00035 | committed | 361_jpg.rf.603dce6217e3ce3f614218b968de94c6.jpg | 361_jpg.rf.603dce6217e3ce3f614218b968de94c6.txt | yawn | 2 | 0.9533 | 0.559213 | 0.5064 | 0.254912 | 0.584406
C00036 | committed | 91_jpg.rf.189168c556d1e80e3f1efe08e38a80dc.jpg | 91_jpg.rf.189168c556d1e80e3f1efe08e38a80dc.txt | open_eye | 1 | 0.9785 | 0.448372 | 0.432096 | 0.067872 | 0.053946
C00037 | committed | 612_jpg.rf.9ccb3bac6df0afff706cac77e5189707.jpg | 612_jpg.rf.9ccb3bac6df0afff706cac77e5189707.txt | open_eye | 1 | 0.9718 | 0.466397 | 0.551949 | 0.932794 | 0.76146
C00038 | committed | 1273_jpg.rf.b6b7ed1c06d840b1dc7a8753ed36aa46.jpg | 1273_jpg.rf.b6b7ed1c06d840b1dc7a8753ed36aa46.txt | closed_eye | 0 | 0.9502 | 0.430629 | 0.502215 | 0.073415 | 0.108461
C00039 | committed | 130_jpg.rf.5b66529aec12811f1ca31141c55938d2.jpg | 130_jpg.rf.5b66529aec12811f1ca31141c55938d2.txt | yawn | 2 | 0.9576 | 0.449208 | 0.415386 | 0.209436 | 0.340783
C00040 | committed | _208_jpg.rf.711747c36aa2a7c4d2adb6666d749035.jpg | _208_jpg.rf.711747c36aa2a7c4d2adb6666d749035.txt | open_eye | 1 | 0.9721 | 0.496445 | 0.607815 | 0.992891 | 0.606035
C00041 | committed | 153_jpg.rf.78488be534b66d99a47d4ec373bd9986.jpg | 153_jpg.rf.78488be534b66d99a47d4ec373bd9986.txt | yawn | 2 | 0.9777 | 0.571466 | 0.509651 | 0.329354 | 0.172233
C00042 | committed | 390_jpg.rf.143cf34d0e4eaa7e06f2f7debc919e07.jpg | 390_jpg.rf.143cf34d0e4eaa7e06f2f7debc919e07.txt | closed_eye | 0 | 0.9848 | 0.332263 | 0.444948 | 0.185249 | 0.086103
C00043 | committed | 390_jpg.rf.143cf34d0e4eaa7e06f2f7debc919e07.jpg | 390_jpg.rf.143cf34d0e4eaa7e06f2f7debc919e07.txt | closed_eye | 0 | 0.9746 | 0.67402 | 0.394161 | 0.177436 | 0.075761
C00044 | committed | 1286_jpg.rf.1b8edb6298c2f612cf20e935a81899f1.jpg | 1286_jpg.rf.1b8edb6298c2f612cf20e935a81899f1.txt | open_eye | 1 | 0.9602 | 0.646579 | 0.31117 | 0.080003 | 0.053472
C00045 | committed | 132_jpg.rf.67addef0180783aa4c2f6d1ee6c56858.jpg | 132_jpg.rf.67addef0180783aa4c2f6d1ee6c56858.txt | yawn | 2 | 0.9687 | 0.555573 | 0.248039 | 0.774696 | 0.418494
C00046 | committed | 390_jpg.rf.6df74251d556e5571a2873de9b291d76.jpg | 390_jpg.rf.6df74251d556e5571a2873de9b291d76.txt | closed_eye | 0 | 0.9595 | 0.448177 | 0.673214 | 0.09074 | 0.171444
C00047 | committed | 86_jpg.rf.5525d54c3be09cd82036ff4511439bf8.jpg | 86_jpg.rf.5525d54c3be09cd82036ff4511439bf8.txt | yawn | 2 | 0.959 | 0.505426 | 0.438221 | 0.216443 | 0.382814
C00048 | committed | 471_jpg.rf.f61216eccc9c96554549efe81e30fa6a.jpg | 471_jpg.rf.f61216eccc9c96554549efe81e30fa6a.txt | yawn | 2 | 0.9622 | 0.505215 | 0.570557 | 0.989571 | 0.655574
C00049 | committed | istockphoto-520132861-612x612_jpg.rf.0f2b42042178a9045ce3b16bedacbaf9.jpg | istockphoto-520132861-612x612_jpg.rf.0f2b42042178a9045ce3b16bedacbaf9.txt | open_eye | 1 | 0.9762 | 0.367251 | 0.388618 | 0.044407 | 0.055353
C00050 | committed | closed_eye_0397-jpg_face_1_jpg.rf.5bd578d125e3d7838846f6b479e93b90.jpg | closed_eye_0397-jpg_face_1_jpg.rf.5bd578d125e3d7838846f6b479e93b90.txt | closed_eye | 0 | 0.9685 | 0.214555 | 0.392098 | 0.22285 | 0.137455
C00051 | committed | 686_jpg.rf.b71dc1783d50e528b41f65766d163ead.jpg | 686_jpg.rf.b71dc1783d50e528b41f65766d163ead.txt | open_eye | 1 | 0.9635 | 0.584142 | 0.434256 | 0.047378 | 0.057002
C00052 | committed | 6_jpg.rf.b32a70dde06ada3970063ef11604d0a4.jpg | 6_jpg.rf.b32a70dde06ada3970063ef11604d0a4.txt | open_eye | 1 | 0.9628 | 0.586527 | 0.534561 | 0.046984 | 0.057279
C00053 | committed | closed_eye_2693-jpg_face_1_jpg.rf.60ad04dc402847aa7df33eb587632484.jpg | closed_eye_2693-jpg_face_1_jpg.rf.60ad04dc402847aa7df33eb587632484.txt | closed_eye | 0 | 0.9715 | 0.613557 | 0.319021 | 0.1719 | 0.089494
C00054 | committed | closed_eye_0007-jpg_face_1_jpg.rf.41dba75c2444540b27d65e7b01d76fed.jpg | closed_eye_0007-jpg_face_1_jpg.rf.41dba75c2444540b27d65e7b01d76fed.txt | closed_eye | 0 | 0.9732 | 0.381894 | 0.722339 | 0.089376 | 0.16915
C00055 | committed | 155_jpg.rf.2d232f16377cf018f9e234b0a758a0e3.jpg | 155_jpg.rf.2d232f16377cf018f9e234b0a758a0e3.txt | yawn | 2 | 0.9718 | 0.531823 | 0.398599 | 0.195477 | 0.373889
C00056 | committed | 702_jpg.rf.110184faf343b19b5c553bd991890140.jpg | 702_jpg.rf.110184faf343b19b5c553bd991890140.txt | yawn | 2 | 0.9797 | 0.504411 | 0.435647 | 0.211788 | 0.370697
C00057 | committed | 1116_jpg.rf.23b6722fb7e7326e6befe3da24e57b5e.jpg | 1116_jpg.rf.23b6722fb7e7326e6befe3da24e57b5e.txt | open_eye | 1 | 0.9905 | 0.5 | 0.505271 | 1.0 | 0.762804
C00058 | committed | 420_jpg.rf.bc0cfa59601ab205e5ca82662aac323a.jpg | 420_jpg.rf.bc0cfa59601ab205e5ca82662aac323a.txt | yawn | 2 | 0.9537 | 0.609232 | 0.386481 | 0.742661 | 0.424744
C00059 | committed | 383_jpg.rf.3bd26633028535d03cf9f69a0887c1ba.jpg | 383_jpg.rf.3bd26633028535d03cf9f69a0887c1ba.txt | closed_eye | 0 | 0.9581 | 0.709982 | 0.311794 | 0.256718 | 0.105989
