epoch,rpn_obj_loss,rpn_box_loss,det_cls_loss,det_box_loss,total,val_map
28,0.014,0.001,0.099,0.003,0.117,0.7176
29,0.014,0.001,0.098,0.003,0.116,0.7096
30,0.014,0.001,0.097,0.003,0.115,0.7016
31,0.014,0.001,0.097,0.003,0.115,0.7151
32,0.014,0.001,0.096,0.003,0.114,0.7062
33,0.014,0.001,0.096,0.003,0.114,0.71998
34,0.013591,0.001249,0.094907,0.003035,0.112783,0.714422
35,0.013545,0.001251,0.094298,0.003023,0.112117,0.723247
36,0.013515,0.001255,0.093885,0.003031,0.111686,0.723868
37,0.013448,0.001253,0.093581,0.003033,0.111314,0.712343
38,0.013374,0.001256,0.093410,0.003021,0.111061,0.729176
39,0.013369,0.001235,0.092714,0.003035,0.110353,0.723297
40,0.013304,0.001250,0.091582,0.003007,0.109143,0.707413
41,0.012927,0.001206,0.088004,0.002966,0.105102,0.734991
42,0.012776,0.001197,0.086069,0.002965,0.103008,0.728273
43,0.012721,0.001189,0.086215,0.002976,0.103101,0.732914
44,0.012681,0.001197,0.085714,0.002965,0.102557,0.727023
45,0.012642,0.001201,0.085294,0.002964,0.102101,0.728034
46,0.012618,0.001191,0.084906,0.002961,0.101676,0.722612
47,0.012601,0.001180,0.084770,0.002964,0.101516,0.722008
48,0.012562,0.001188,0.084233,0.002957,0.100939,0.729756
49,0.012546,0.001191,0.084504,0.002965,0.101205,0.716129
50,0.012506,0.001189,0.084360,0.002975,0.101030,0.740253
