epoch,rpn_obj_loss,rpn_box_loss,det_cls_loss,det_box_loss,total,val_map,lr
1,0.024972,0.005563,0.160921,0.003122,0.194578,0.246503,0.00500000
2,0.019068,0.004443,0.150668,0.003427,0.177606,0.344007,0.00500000
3,0.018184,0.004189,0.140694,0.003442,0.166509,0.417033,0.00500000
4,0.017647,0.004012,0.134506,0.003381,0.159547,0.395310,0.00500000
5,0.017295,0.003867,0.129917,0.003357,0.154436,0.469957,0.00500000
6,0.016994,0.003782,0.127493,0.003324,0.151593,0.549902,0.00500000
7,0.016834,0.003781,0.125677,0.003304,0.149596,0.564710,0.00500000
8,0.016673,0.003700,0.124730,0.003295,0.148399,0.546419,0.00500000
9,0.016509,0.003678,0.122532,0.003269,0.145988,0.518779,0.00500000
10,0.016395,0.003640,0.122108,0.003287,0.145430,0.570351,0.00500000
11,0.016198,0.003604,0.120514,0.003268,0.143584,0.560233,0.00500000
12,0.016003,0.003591,0.120110,0.003247,0.142951,0.577225,0.00500000
13,0.015958,0.003584,0.119196,0.003256,0.141994,0.540931,0.00500000
14,0.015815,0.003568,0.118804,0.003257,0.141445,0.606457,0.00500000
15,0.015731,0.003559,0.118772,0.003243,0.141306,0.551047,0.00500000
16,0.015610,0.003535,0.118482,0.003219,0.140845,0.597122,0.00500000
17,0.015586,0.003492,0.118702,0.003240,0.141020,0.605414,0.00500000
18,0.015480,0.003497,0.117537,0.003219,0.139732,0.623629,0.00500000
19,0.015402,0.003490,0.116667,0.003196,0.138755,0.620055,0.00500000
20,0.015436,0.003487,0.117323,0.003201,0.139447,0.621092,0.00500000
21,0.015302,0.003462,0.115979,0.003184,0.137926,0.575839,0.00500000
22,0.015265,0.003416,0.115680,0.003176,0.137536,0.625248,0.00500000
23,0.015199,0.003413,0.116203,0.003193,0.138009,0.597521,0.00500000
24,0.015091,0.003388,0.115110,0.003163,0.136752,0.643514,0.00500000
25,0.015092,0.003399,0.115970,0.003177,0.137639,0.611441,0.00500000
26,0.015065,0.003398,0.115139,0.003189,0.136791,0.573333,0.00500000
27,0.015007,0.003387,0.114744,0.003167,0.136306,0.652831,0.00500000
28,0.015003,0.003359,0.115247,0.003178,0.136787,0.667232,0.00500000
29,0.014961,0.003376,0.114379,0.003157,0.135872,0.507706,0.00500000
30,0.014903,0.003331,0.114368,0.003179,0.135781,0.651194,0.00500000
31,0.014867,0.003366,0.115038,0.003158,0.136428,0.623924,0.00500000
32,0.014891,0.003347,0.114263,0.003153,0.135655,0.618189,0.00250000
33,0.014236,0.003201,0.108062,0.003080,0.128579,0.702308,0.00250000
34,0.014135,0.003215,0.107304,0.003080,0.127734,0.679019,0.00250000
35,0.014126,0.003201,0.107522,0.003065,0.127915,0.690209,0.00250000
36,0.014123,0.003167,0.107606,0.003076,0.127972,0.679359,0.00250000
37,0.014066,0.003178,0.107037,0.003069,0.127350,0.678663,0.00125000
38,0.013682,0.003088,0.102487,0.003013,0.122270,0.722182,0.00125000
39,0.013627,0.003051,0.101876,0.003000,0.121554,0.722246,0.00125000
40,0.013538,0.003057,0.101561,0.002986,0.121143,0.738690,0.00125000
41,0.013548,0.003016,0.101145,0.002971,0.120679,0.720709,0.00125000
42,0.013524,0.003048,0.101340,0.002987,0.120899,0.732064,0.00125000
43,0.013495,0.003050,0.101934,0.003007,0.121487,0.738902,0.00125000
44,0.013489,0.003029,0.101415,0.002980,0.120913,0.749551,0.00125000
45,0.013450,0.003056,0.101272,0.002983,0.120761,0.730653,0.00125000
46,0.013402,0.003010,0.101142,0.002988,0.120541,0.714627,0.00125000
47,0.013420,0.003011,0.101271,0.002983,0.120685,0.738710,0.00125000
48,0.013390,0.003036,0.101187,0.002987,0.120601,0.738260,0.00062500
49,0.013077,0.002970,0.097373,0.002927,0.116347,0.755492,0.00062500
50,0.013006,0.002931,0.096906,0.002919,0.115763,0.756947,0.00062500
