epoch,rpn_obj_loss,rpn_box_loss,det_cls_loss,det_box_loss,total,val_map,lr
51,0.013056,0.002999,0.096233,0.002943,0.115231,0.766218,0.00062500
52,0.012972,0.003000,0.095981,0.002936,0.114888,0.735570,0.00062500
53,0.013040,0.002975,0.095811,0.002949,0.114775,0.747653,0.00062500
54,0.012992,0.002984,0.095914,0.002941,0.114832,0.764910,0.00062500
55,0.012997,0.003001,0.095845,0.002948,0.114792,0.757822,0.00031250
56,0.012737,0.002924,0.093254,0.002909,0.111823,0.766474,0.00031250
57,0.012685,0.002901,0.092420,0.002895,0.110902,0.770514,0.00031250
58,0.012700,0.002912,0.092552,0.002913,0.111078,0.773395,0.00031250
59,0.012655,0.002922,0.091957,0.002890,0.110424,0.767004,0.00031250
60,0.012697,0.002896,0.091880,0.002901,0.110373,0.768535,0.00031250
61,0.012588,0.002882,0.091565,0.002876,0.109911,0.762062,0.00031250
62,0.012600,0.002886,0.091785,0.002892,0.110163,0.766067,0.00015625
63,0.012462,0.002846,0.089801,0.002859,0.107968,0.786808,0.00015625
64,0.012409,0.002820,0.089454,0.002847,0.107530,0.783131,0.00015625
65,0.012412,0.002855,0.089293,0.002863,0.107422,0.781136,0.00015625
