epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1651.52,1.26791,2.74935,1.63413,0.80854,0.81845,0.89752,0.53897,1.30258,2.46262,1.61879,0.000999596,0.000999596,0.00103997
2,3382.09,1.22659,2.56386,1.5915,0.79693,0.84324,0.89283,0.51821,1.37001,2.48742,1.64248,0.000989183,0.000989183,0.000989183
3,5075.48,1.20944,2.49915,1.57515,0.79796,0.83381,0.90388,0.53816,1.33543,2.38041,1.60838,0.000957205,0.000957205,0.000957205
4,6708.88,1.18985,2.43727,1.55608,0.79391,0.83421,0.88551,0.52364,1.326,2.44615,1.61678,0.000905463,0.000905463,0.000905463
5,8179.56,1.1712,2.38613,1.54229,0.80564,0.8242,0.89956,0.54616,1.27888,2.29162,1.5649,0.00083622,0.00083622,0.00083622
6,9728.93,1.15371,2.3325,1.52812,0.80346,0.827,0.89808,0.54572,1.26261,2.38806,1.57061,0.0007525,0.0007525,0.0007525
7,11586.5,1.13553,2.28435,1.51161,0.80854,0.82883,0.90409,0.55686,1.23363,2.28263,1.53206,0.000657963,0.000657963,0.000657963
8,13741.8,1.1143,2.22442,1.48941,0.80599,0.82775,0.89792,0.56746,1.21207,2.28053,1.52486,0.000556742,0.000556742,0.000556742
9,15628.8,1.0972,2.17146,1.47678,0.80854,0.82508,0.90616,0.56704,1.2238,2.23352,1.51339,0.000453258,0.000453258,0.000453258
10,17359.7,1.0744,2.12324,1.45396,0.79405,0.83008,0.9068,0.58128,1.17716,2.14404,1.48316,0.000352037,0.000352037,0.000352037
11,19093.5,1.05159,2.07079,1.43943,0.84024,0.81716,0.91184,0.58366,1.16818,2.14649,1.46958,0.0002575,0.0002575,0.0002575
12,20826.5,1.03597,2.04108,1.423,0.82692,0.82535,0.91275,0.58663,1.17288,2.10645,1.46514,0.00017378,0.00017378,0.00017378
13,22561.1,1.02311,2.01311,1.41237,0.81533,0.82713,0.91147,0.59047,1.1582,2.1003,1.45783,0.000104537,0.000104537,0.000104537
14,24295.8,1.01124,1.98674,1.3997,0.81609,0.82195,0.91101,0.59131,1.14953,2.0913,1.44916,5.2795e-05,5.2795e-05,5.2795e-05
15,26030,1.00532,1.97461,1.39296,0.82006,0.82438,0.913,0.59309,1.14953,2.07588,1.4471,2.08169e-05,2.08169e-05,2.08169e-05
