epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,704.068,1.39583,3.01336,1.45176,0.71603,0.73111,0.79717,0.38266,1.7077,2.99412,1.55091,0.000666347,0.000666347,0.067349
2,1413.5,1.42648,3.19309,1.4956,0.7513,0.76027,0.82755,0.459,1.46935,2.26409,1.38624,0.00133098,0.00133098,0.0346803
3,2108.27,1.41451,3.19515,1.4896,0.82135,0.70872,0.82814,0.46569,1.44512,2.30536,1.35557,0.00198749,0.00198749,0.00200347
4,2799.97,1.3847,3.07324,1.46783,0.75413,0.80395,0.85946,0.47188,1.43023,2.19416,1.3301,0.00197265,0.00197265,0.00197265
5,3492.43,1.35713,2.94786,1.44183,0.73795,0.83972,0.85944,0.50404,1.36176,2.09054,1.28804,0.00195155,0.00195155,0.00195155
6,4184.98,1.33234,2.85853,1.42705,0.74464,0.88081,0.8818,0.52883,1.30128,1.97069,1.24017,0.00192464,0.00192464,0.00192464
7,4874.8,1.31044,2.79936,1.40864,0.74141,0.85223,0.87384,0.51715,1.3348,2.01016,1.24997,0.0018921,0.0018921,0.0018921
8,5563.77,1.29186,2.73467,1.39685,0.79379,0.79555,0.88062,0.53499,1.28831,1.96674,1.23639,0.00185411,0.00185411,0.00185411
9,6253.18,1.28195,2.69316,1.39156,0.77539,0.83508,0.88871,0.55068,1.26433,1.89089,1.21108,0.00181093,0.00181093,0.00181093
10,6943.71,1.26369,2.64045,1.37665,0.7726,0.83371,0.88601,0.54261,1.2704,1.89689,1.20749,0.0017628,0.0017628,0.0017628
11,7633.02,1.24965,2.5987,1.37019,0.80611,0.80187,0.88967,0.55651,1.23742,1.85817,1.18765,0.00171004,0.00171004,0.00171004
12,8322.55,1.24002,2.56124,1.36411,0.75688,0.87717,0.89472,0.56573,1.2152,1.83475,1.1801,0.00165295,0.00165295,0.00165295
13,9012.51,1.23026,2.52609,1.35797,0.78863,0.83859,0.89714,0.56586,1.224,1.79405,1.17806,0.00159191,0.00159191,0.00159191
14,9702.65,1.21567,2.49271,1.3496,0.80214,0.81924,0.89878,0.57555,1.20058,1.78229,1.16292,0.00152727,0.00152727,0.00152727
15,10392.4,1.20497,2.45386,1.33984,0.76002,0.87788,0.90013,0.57701,1.19017,1.76558,1.153,0.00145945,0.00145945,0.00145945
16,11082.8,1.19458,2.427,1.33576,0.78437,0.84655,0.89929,0.57928,1.18073,1.74999,1.15169,0.00138886,0.00138886,0.00138886
17,11772.5,1.19034,2.4081,1.32812,0.76571,0.85499,0.90023,0.58135,1.18246,1.74582,1.14655,0.00131593,0.00131593,0.00131593
18,12462.7,1.18086,2.37091,1.32145,0.76126,0.8689,0.89926,0.58924,1.15628,1.72775,1.13417,0.00124111,0.00124111,0.00124111
19,13152.2,1.16685,2.32806,1.31541,0.76176,0.87591,0.90282,0.59209,1.14944,1.702,1.13039,0.00116487,0.00116487,0.00116487
20,13841,1.15665,2.31006,1.309,0.76752,0.86427,0.90436,0.59869,1.13761,1.68373,1.12469,0.00108767,0.00108767,0.00108767
21,14503.3,1.14432,2.27198,1.30081,0.76285,0.88096,0.90623,0.60284,1.13132,1.66611,1.12094,0.00101,0.00101,0.00101
22,15144.4,1.13322,2.24859,1.29438,0.75934,0.88529,0.90716,0.60408,1.12301,1.66033,1.11426,0.000932325,0.000932325,0.000932325
23,15785.7,1.1255,2.21437,1.28552,0.76236,0.88609,0.9083,0.60393,1.12307,1.6477,1.11114,0.00085513,0.00085513,0.00085513
24,16427.2,1.11349,2.18837,1.27641,0.76193,0.88941,0.90893,0.60599,1.11953,1.63205,1.10524,0.000778889,0.000778889,0.000778889
