epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2640,1.37222,5.06287,1.67392,0.8027,0.73417,0.84903,0.45725,1.50861,3.87176,1.66407,0.000333174,0.000333174,0.0670158
2,5920.31,1.34053,5.00873,1.65709,0.79476,0.81011,0.8723,0.4828,1.50637,3.43323,1.70474,0.00066549,0.00066549,0.0340148
3,7843.22,1.34106,5.03578,1.66161,0.75429,0.84988,0.87106,0.50014,1.40911,3.53232,1.61335,0.000993747,0.000993747,0.00100973
4,10623.5,1.31493,4.94254,1.64748,0.77565,0.83993,0.88416,0.51019,1.41465,3.49826,1.62896,0.000986323,0.000986323,0.000986323
5,12997.9,1.2977,4.76764,1.62659,0.70989,0.80507,0.83845,0.49344,1.42582,3.63899,1.63332,0.000975773,0.000975773,0.000975773
6,15837.9,1.28024,4.71919,1.61478,0.7554,0.85457,0.89141,0.53559,1.34411,3.33354,1.55718,0.00096232,0.00096232,0.00096232
7,18301.5,1.26515,4.59865,1.59785,0.77164,0.87365,0.90252,0.55342,1.31719,3.17416,1.53331,0.000946048,0.000946048,0.000946048
8,21436.1,1.25765,4.49758,1.59021,0.75756,0.88425,0.89715,0.54628,1.32592,3.12828,1.53224,0.000927057,0.000927057,0.000927057
9,25150.7,1.24439,4.43096,1.57758,0.78776,0.85229,0.90749,0.56375,1.28054,3.08851,1.49159,0.000905463,0.000905463,0.000905463
10,29150.2,1.23393,4.38238,1.56815,0.77559,0.84134,0.89897,0.56362,1.27508,3.18758,1.4969,0.000881401,0.000881401,0.000881401
11,33206.2,1.22747,4.35024,1.56294,0.78241,0.84931,0.90517,0.5674,1.28149,3.0515,1.49845,0.000855018,0.000855018,0.000855018
12,37283.3,1.21599,4.31239,1.55106,0.77571,0.86403,0.90527,0.57491,1.24746,3.03657,1.45904,0.000826477,0.000826477,0.000826477
13,41382.4,1.2029,4.21532,1.54149,0.76246,0.89369,0.90772,0.5806,1.25616,2.97378,1.46673,0.000795954,0.000795954,0.000795954
14,45174.8,1.19556,4.15179,1.53416,0.78328,0.85252,0.91184,0.58631,1.2431,2.95987,1.46843,0.000763637,0.000763637,0.000763637
15,49727.3,1.19011,4.12208,1.53123,0.77039,0.90594,0.91385,0.59051,1.23332,2.93818,1.45133,0.000729725,0.000729725,0.000729725
16,55021.4,1.17654,4.07901,1.52416,0.76307,0.89335,0.90997,0.59304,1.21173,2.92278,1.43596,0.000694428,0.000694428,0.000694428
17,60658.3,1.16881,4.01629,1.51365,0.78614,0.86194,0.91379,0.59867,1.1938,2.91841,1.42413,0.000657963,0.000657963,0.000657963
18,64216.7,1.16293,3.96984,1.50375,0.7925,0.85084,0.91544,0.60346,1.18851,2.86185,1.41878,0.000620555,0.000620555,0.000620555
19,69433.9,1.14786,3.92284,1.49459,0.79401,0.85343,0.91511,0.60175,1.18819,2.81425,1.41175,0.000582435,0.000582435,0.000582435
20,72452.6,1.13972,3.87161,1.48814,0.78918,0.86009,0.9149,0.60608,1.17627,2.8402,1.40674,0.000543837,0.000543837,0.000543837
21,77307.9,1.13456,3.83624,1.48204,0.79344,0.84519,0.9134,0.60956,1.16989,2.80359,1.39682,0.000505,0.000505,0.000505
22,80927.4,1.1214,3.77371,1.47281,0.79029,0.85663,0.91585,0.6118,1.16443,2.79732,1.39312,0.000466163,0.000466163,0.000466163
23,85363,1.11657,3.72709,1.46671,0.79096,0.85431,0.9151,0.61299,1.15609,2.7797,1.38651,0.000427565,0.000427565,0.000427565
24,88135.4,1.10362,3.70897,1.45665,0.79719,0.844,0.91565,0.61693,1.14538,2.76391,1.37771,0.000389445,0.000389445,0.000389445
25,91795.4,1.10009,3.66512,1.45602,0.79996,0.84208,0.91645,0.61821,1.14147,2.73833,1.37338,0.000352037,0.000352037,0.000352037
26,94413.9,1.08527,3.61694,1.44403,0.79811,0.84429,0.91598,0.62045,1.13718,2.72868,1.37023,0.000315572,0.000315572,0.000315572
27,98268.9,1.07553,3.57515,1.43751,0.7985,0.84535,0.91664,0.62236,1.13121,2.71525,1.36588,0.000280275,0.000280275,0.000280275
28,101032,1.06879,3.53628,1.43333,0.79859,0.84585,0.91702,0.62382,1.12846,2.70124,1.36459,0.000246363,0.000246363,0.000246363
29,104066,1.06237,3.51028,1.42945,0.80093,0.84542,0.91824,0.6251,1.12581,2.68963,1.36325,0.000214046,0.000214046,0.000214046
30,106675,1.05275,3.45029,1.41963,0.80252,0.84538,0.91861,0.6261,1.12306,2.67795,1.36152,0.000183523,0.000183523,0.000183523
31,109519,1.05039,3.45014,1.41689,0.80415,0.8453,0.91894,0.62735,1.12065,2.66964,1.35992,0.000154982,0.000154982,0.000154982
32,112005,1.04483,3.44071,1.41485,0.80297,0.84548,0.91928,0.62829,1.11924,2.66342,1.35917,0.000128599,0.000128599,0.000128599
33,115902,1.03605,3.39597,1.40509,0.80288,0.84686,0.9194,0.6287,1.11771,2.65778,1.35809,0.000104537,0.000104537,0.000104537
34,119498,1.03123,3.36728,1.40194,0.80233,0.84574,0.91939,0.62964,1.11624,2.65228,1.35661,8.29431e-05,8.29431e-05,8.29431e-05
35,123982,1.02799,3.35765,1.39875,0.803,0.84536,0.91932,0.63011,1.11517,2.64696,1.35542,6.39518e-05,6.39518e-05,6.39518e-05
36,127834,1.02723,3.35668,1.40031,0.80249,0.84547,0.9194,0.63064,1.11406,2.6412,1.3544,4.76796e-05,4.76796e-05,4.76796e-05
37,132206,1.01618,3.32238,1.3939,0.80422,0.84557,0.91986,0.63096,1.11285,2.63719,1.35336,3.4227e-05,3.4227e-05,3.4227e-05
38,137405,1.01714,3.30198,1.3911,0.80537,0.84507,0.92004,0.6315,1.112,2.6338,1.35263,2.36769e-05,2.36769e-05,2.36769e-05
39,142207,1.01975,3.32223,1.39372,0.80402,0.84632,0.91996,0.63209,1.11128,2.63025,1.35214,1.60943e-05,1.60943e-05,1.60943e-05
40,145305,1.01894,3.3079,1.39287,0.80246,0.84742,0.92003,0.63259,1.1105,2.62668,1.35155,1.15259e-05,1.15259e-05,1.15259e-05
