epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1297.77,1.7429,6.42646,2.30201,0.25462,0.39027,0.28376,0.10792,2.2154,7.64698,2.85206,0.000333064,0.000333064,0.0670266
2,2549.8,1.62481,4.96645,2.13564,0.55517,0.55992,0.54523,0.21958,1.87799,5.23122,2.50159,0.000666285,0.000666285,0.0340265
3,3793.3,1.55836,4.50413,2.05148,0.52209,0.48159,0.47363,0.18544,2.00257,6.0826,2.59014,0.000999053,0.000999053,0.00102596
4,5027.53,1.52352,4.23296,2.00362,0.59848,0.61017,0.64208,0.2888,1.77613,4.54818,2.29497,0.000998474,0.000998474,0.000998474
5,6263.79,1.47311,3.92755,1.94044,0.72786,0.67736,0.75604,0.34535,1.71735,3.77991,2.24718,0.000997288,0.000997288,0.000997288
6,7498.05,1.45098,3.78595,1.91682,0.75871,0.6182,0.73195,0.34574,1.72305,3.73947,2.23421,0.000995765,0.000995765,0.000995765
7,8731.55,1.42724,3.65343,1.88534,0.79349,0.65008,0.77842,0.38518,1.61956,3.58921,2.11248,0.000993906,0.000993906,0.000993906
8,9966.05,1.41031,3.53834,1.86129,0.79539,0.65554,0.79313,0.383,1.66654,3.46491,2.18367,0.000991711,0.000991711,0.000991711
9,11200.2,1.39062,3.4585,1.83735,0.75761,0.69237,0.78512,0.39354,1.64208,3.36851,2.15179,0.000989183,0.000989183,0.000989183
10,12432,1.37843,3.36953,1.82569,0.77028,0.71423,0.80647,0.4182,1.57132,3.21483,2.0677,0.000986323,0.000986323,0.000986323
11,13663.8,1.36706,3.31693,1.81489,0.77065,0.73812,0.8305,0.43163,1.55105,3.13672,2.05828,0.000983133,0.000983133,0.000983133
12,14893.9,1.35585,3.24234,1.79274,0.76859,0.76009,0.83842,0.43361,1.56545,3.02588,2.05081,0.000979616,0.000979616,0.000979616
13,16122.9,1.35158,3.20359,1.78958,0.75156,0.79461,0.85091,0.44438,1.54585,2.93047,2.02771,0.000975773,0.000975773,0.000975773
14,17351.5,1.33922,3.14397,1.77682,0.76749,0.79228,0.8539,0.45393,1.51116,2.89727,2.00118,0.000971608,0.000971608,0.000971608
15,18581,1.32904,3.12594,1.75951,0.74989,0.79491,0.84322,0.44881,1.52971,2.92254,2.03112,0.000967122,0.000967122,0.000967122
16,19811.5,1.31818,3.08671,1.75146,0.76683,0.78183,0.84964,0.45797,1.50592,2.88769,2.00511,0.00096232,0.00096232,0.00096232
17,21040.1,1.31671,3.04998,1.74925,0.77759,0.78222,0.85796,0.47135,1.4621,2.80285,1.95236,0.000957205,0.000957205,0.000957205
18,22269.2,1.30819,2.99525,1.73714,0.76784,0.79951,0.8601,0.47362,1.46,2.77252,1.94559,0.00095178,0.00095178,0.00095178
