epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.052,1.75076,9.01268,1.98655,0.43043,0.4151,0.37371,0.12875,2.23022,8.81104,2.50516,0.000999521,0.000999521,0.0676822
2,878.449,1.6679,8.04447,1.92441,0.59285,0.56502,0.55979,0.21953,1.97386,7.04943,2.25921,0.00199816,0.00199816,0.0353475
3,1335.17,1.60988,7.51481,1.8696,0.62814,0.59185,0.59733,0.24727,1.84362,6.0099,2.08292,0.00299139,0.00299139,0.00300737
4,1811.22,1.55799,7.06097,1.81971,0.66607,0.69275,0.6888,0.31007,1.73144,5.42056,1.93366,0.00298172,0.00298172,0.00298172
5,2300.7,1.53173,6.75586,1.79274,0.71198,0.70909,0.71927,0.34323,1.67859,5.04476,1.85853,0.00296755,0.00296755,0.00296755
6,2776.87,1.50475,6.51452,1.76434,0.7529,0.70197,0.76157,0.36505,1.67202,4.88197,1.84905,0.0029494,0.0029494,0.0029494
7,3256,1.48218,6.35908,1.7408,0.77477,0.74337,0.80462,0.41386,1.60156,4.49134,1.78039,0.00292732,0.00292732,0.00292732
8,3740.08,1.46258,6.17108,1.72256,0.8151,0.73586,0.81408,0.42475,1.5628,4.30685,1.72949,0.00290137,0.00290137,0.00290137
9,4223.75,1.44253,6.03712,1.70629,0.77222,0.7509,0.82504,0.4304,1.52576,4.3169,1.69679,0.00287162,0.00287162,0.00287162
10,4708.87,1.4232,5.86159,1.68772,0.8138,0.76473,0.83424,0.44818,1.51629,4.11941,1.68991,0.00283814,0.00283814,0.00283814
11,5184.78,1.42007,5.79886,1.67966,0.80908,0.75462,0.83696,0.4604,1.48571,4.05852,1.6572,0.00280105,0.00280105,0.00280105
12,5655.68,1.40036,5.65663,1.66353,0.79362,0.77952,0.84747,0.47251,1.45817,3.95446,1.63025,0.00276043,0.00276043,0.00276043
13,6136.4,1.39149,5.60941,1.65631,0.80527,0.77895,0.85363,0.47768,1.44683,3.91178,1.61716,0.00271639,0.00271639,0.00271639
14,6613.84,1.37783,5.49932,1.64183,0.78174,0.78481,0.85558,0.48782,1.41878,3.88175,1.58533,0.00266906,0.00266906,0.00266906
15,7089.16,1.3703,5.40203,1.63244,0.78556,0.78885,0.86107,0.49657,1.41269,3.79081,1.57491,0.00261857,0.00261857,0.00261857
16,7566.43,1.3605,5.35307,1.62754,0.79234,0.77766,0.86091,0.50199,1.39332,3.73716,1.5594,0.00256505,0.00256505,0.00256505
17,8040.99,1.34805,5.27242,1.61802,0.78451,0.7897,0.8634,0.5061,1.38,3.68697,1.55056,0.00250866,0.00250866,0.00250866
18,8519.42,1.34964,5.23148,1.61144,0.79016,0.79089,0.86982,0.50881,1.38327,3.63988,1.55088,0.00244954,0.00244954,0.00244954
