epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,438.398,1.31257,4.97776,1.58951,0.78983,0.76177,0.84729,0.47463,1.4682,3.88433,1.60551,0.000333174,0.000333174,0.0670158
2,862.076,1.26879,4.76902,1.5562,0.80254,0.80425,0.88273,0.52505,1.3823,3.4728,1.54311,0.000666055,0.000666055,0.0340154
3,1282.25,1.25221,4.6343,1.53961,0.79037,0.82961,0.88702,0.53336,1.34691,3.43967,1.50842,0.000997129,0.000997129,0.00101311
4,1699.94,1.23085,4.55829,1.52948,0.7969,0.81358,0.88775,0.52025,1.38062,3.47085,1.52723,0.000993906,0.000993906,0.000993906
5,2118.39,1.23564,4.54006,1.52893,0.77346,0.84876,0.88941,0.53144,1.34435,3.4595,1.50536,0.000989183,0.000989183,0.000989183
6,2536.24,1.23561,4.55285,1.53016,0.79035,0.82843,0.8932,0.53766,1.33716,3.35794,1.49322,0.000983133,0.000983133,0.000983133
7,2954.7,1.23614,4.51911,1.52935,0.79592,0.82622,0.89475,0.53669,1.33813,3.32959,1.48854,0.000975773,0.000975773,0.000975773
8,3372.7,1.23141,4.50893,1.52904,0.77305,0.84796,0.88882,0.53945,1.33408,3.32206,1.50455,0.000967122,0.000967122,0.000967122
9,3790.23,1.22991,4.50066,1.52559,0.78107,0.83813,0.89553,0.54042,1.3368,3.32157,1.49324,0.000957205,0.000957205,0.000957205
10,4208.28,1.23145,4.49077,1.52683,0.77662,0.84496,0.89245,0.54297,1.32705,3.38124,1.47684,0.000946048,0.000946048,0.000946048
11,4626.28,1.23605,4.5103,1.52863,0.77851,0.82598,0.88965,0.54139,1.32444,3.34486,1.48596,0.000933683,0.000933683,0.000933683
12,5043.55,1.23124,4.49794,1.52104,0.76426,0.85246,0.89333,0.54365,1.32364,3.29946,1.47879,0.000920142,0.000920142,0.000920142
13,5461.43,1.22864,4.47827,1.51804,0.77484,0.83318,0.88966,0.54673,1.30891,3.32136,1.46745,0.000905463,0.000905463,0.000905463
14,5879.6,1.22445,4.46135,1.51944,0.76496,0.86279,0.89532,0.55061,1.30447,3.3188,1.46724,0.000889687,0.000889687,0.000889687
15,6297.74,1.22254,4.45245,1.5184,0.76224,0.86194,0.89344,0.54689,1.31346,3.27552,1.47058,0.000872857,0.000872857,0.000872857
16,6715.68,1.21867,4.43592,1.51489,0.76079,0.84618,0.88929,0.54738,1.30739,3.3023,1.46185,0.000855018,0.000855018,0.000855018
17,7134.16,1.21876,4.43051,1.51334,0.76603,0.84492,0.89274,0.54747,1.31052,3.26887,1.46947,0.00083622,0.00083622,0.00083622
18,7552.8,1.21826,4.41527,1.51125,0.78184,0.82721,0.89458,0.55086,1.30329,3.26705,1.46338,0.000816514,0.000816514,0.000816514
