epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,956.117,1.55797,7.14857,0.0287,0.52205,0.50436,0.48855,0.21565,1.68438,1.99695,0.03615,0.00999193,0.00333064,0.00999193,0.00333064,0.00999193,0.00333064,0.00999193,0.00333064
2,1884.22,1.50847,1.52683,0.02668,0.6227,0.5547,0.57749,0.25989,1.74035,1.60761,0.03847,0.0199898,0.00666325,0.0199898,0.00666325,0.0199898,0.00666325,0.0199898,0.00666325
3,2746.82,1.55159,1.42915,0.02759,0.59792,0.56366,0.58787,0.25616,1.77766,1.55089,0.03947,0.0299789,0.00999297,0.0299789,0.00999297,0.0299789,0.00999297,0.0299789,0.00999297
4,3599.11,1.54867,1.37419,0.02715,0.62966,0.61884,0.64296,0.31065,1.68834,1.343,0.03408,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,4452.26,1.49328,1.22045,0.02564,0.70042,0.67289,0.73771,0.38086,1.61223,1.10411,0.03257,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,5400.43,1.45713,1.14408,0.02459,0.70401,0.69088,0.74535,0.38017,1.61713,1.10347,0.03329,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,6380.24,1.43851,1.05258,0.0239,0.72674,0.7219,0.77828,0.41471,1.54244,0.99854,0.0309,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,7295.23,1.40719,1.02534,0.02322,0.70512,0.71582,0.77026,0.42297,1.53309,1.03253,0.0306,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,8147.14,1.40116,0.98233,0.02292,0.72247,0.76576,0.81569,0.46094,1.44369,0.8936,0.02855,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,9014.93,1.38258,0.96144,0.02258,0.72076,0.78316,0.82683,0.46789,1.42646,0.87045,0.02767,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,9875.02,1.3738,0.93776,0.02227,0.72225,0.78611,0.82372,0.4669,1.44675,0.86386,0.02851,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,10723.4,1.35296,0.91686,0.02163,0.71138,0.74931,0.81112,0.46725,1.41048,0.89662,0.02739,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,11565.4,1.3482,0.90213,0.02161,0.73639,0.77359,0.8346,0.48415,1.37977,0.8297,0.02675,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,12407.2,1.3453,0.89272,0.02152,0.76037,0.76321,0.84486,0.49452,1.37093,0.8143,0.0264,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,13250.3,1.33095,0.88611,0.02131,0.75047,0.77944,0.84868,0.49934,1.36496,0.7951,0.02608,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,14095,1.32566,0.87571,0.02111,0.74737,0.79867,0.85381,0.50445,1.35976,0.79202,0.02604,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,14937.6,1.32653,0.86019,0.02103,0.77453,0.75824,0.85212,0.50473,1.35544,0.78974,0.0258,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,15783.4,1.32368,0.8507,0.02097,0.75002,0.78989,0.85608,0.50671,1.35196,0.7875,0.02582,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,16660.8,1.31399,0.84881,0.02081,0.7583,0.77966,0.85746,0.50874,1.33933,0.76993,0.02567,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,17562,1.31499,0.83482,0.02087,0.76686,0.7789,0.85855,0.51184,1.3397,0.76426,0.02566,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,18561.2,1.30185,0.84191,0.02056,0.77111,0.77795,0.86222,0.51493,1.33133,0.7607,0.02546,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,19479.4,1.29864,0.8342,0.0205,0.76775,0.78858,0.86394,0.51603,1.33028,0.75493,0.02542,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,20415.8,1.29553,0.82495,0.02048,0.76839,0.78626,0.86407,0.51871,1.31907,0.75622,0.02507,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,21362.2,1.29451,0.82999,0.02048,0.76866,0.78916,0.866,0.5208,1.3159,0.75705,0.02508,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
