epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,908.997,1.38228,0.8041,0.02196,0.73509,0.73487,0.80215,0.42027,1.59266,0.94456,0.03243,0.000333064,0.000333064,0.0670266
2,1800.18,1.34701,0.78841,0.02133,0.74412,0.82154,0.85387,0.47034,1.48363,0.76346,0.02908,0.000665747,0.000665747,0.034026
3,2640.33,1.30381,0.77916,0.0204,0.75666,0.81415,0.86545,0.48652,1.45116,0.75614,0.02802,0.000995829,0.000995829,0.00102273
4,3488.9,1.30017,0.77654,0.02032,0.78855,0.78141,0.84892,0.4709,1.47035,0.79465,0.0282,0.000991232,0.000991232,0.000991232
5,4366.85,1.28618,0.76868,0.02005,0.76707,0.82268,0.86593,0.48826,1.4422,0.73361,0.02791,0.000984449,0.000984449,0.000984449
6,5237.25,1.28202,0.76395,0.01993,0.76306,0.81576,0.8693,0.49015,1.44256,0.73824,0.0282,0.000975773,0.000975773,0.000975773
7,6106.73,1.27158,0.75615,0.0197,0.76138,0.83407,0.87152,0.49795,1.41299,0.72817,0.0271,0.000965239,0.000965239,0.000965239
8,6972.79,1.26525,0.75047,0.01959,0.76474,0.80806,0.86814,0.4941,1.42088,0.73187,0.02749,0.000952889,0.000952889,0.000952889
9,7816.79,1.26111,0.74134,0.01948,0.76732,0.81538,0.86877,0.49797,1.42307,0.72637,0.02793,0.000938772,0.000938772,0.000938772
10,8658.63,1.24774,0.74048,0.01918,0.77107,0.80413,0.87113,0.49785,1.417,0.7237,0.02741,0.000922942,0.000922942,0.000922942
11,9515.97,1.24559,0.72975,0.01912,0.76018,0.83707,0.87447,0.50483,1.39263,0.71484,0.02699,0.000905463,0.000905463,0.000905463
12,10358.8,1.22969,0.73046,0.01873,0.77016,0.8129,0.87039,0.50841,1.38908,0.70638,0.02661,0.000886404,0.000886404,0.000886404
13,11228.2,1.22066,0.72173,0.01854,0.77684,0.80876,0.87539,0.50623,1.40155,0.70995,0.02688,0.000865839,0.000865839,0.000865839
14,12086.5,1.21804,0.71965,0.01852,0.76523,0.83687,0.87556,0.51584,1.36965,0.70177,0.02645,0.000843851,0.000843851,0.000843851
15,12947,1.19973,0.71071,0.01821,0.77667,0.81292,0.87858,0.51769,1.3624,0.69518,0.02615,0.000820525,0.000820525,0.000820525
16,13802.3,1.19778,0.70675,0.01808,0.77545,0.82121,0.87911,0.51598,1.36448,0.69581,0.02611,0.000795954,0.000795954,0.000795954
17,14653.8,1.19863,0.7045,0.01815,0.77959,0.82012,0.87799,0.5158,1.3674,0.69322,0.02606,0.000770234,0.000770234,0.000770234
18,15484.3,1.18725,0.69772,0.01781,0.77604,0.81572,0.87795,0.51495,1.36774,0.68868,0.02622,0.000743468,0.000743468,0.000743468
19,16349.5,1.17527,0.69751,0.01758,0.7739,0.81441,0.87457,0.5133,1.37352,0.69207,0.02644,0.000715761,0.000715761,0.000715761
20,17232.1,1.17068,0.69019,0.01762,0.77914,0.81576,0.87555,0.51464,1.36496,0.68967,0.02624,0.000687222,0.000687222,0.000687222
21,18115.8,1.15995,0.67883,0.01732,0.77852,0.8178,0.88034,0.5166,1.35793,0.68817,0.02607,0.000657963,0.000657963,0.000657963
22,18993.4,1.15571,0.68155,0.01726,0.77195,0.82519,0.87901,0.5187,1.35449,0.68605,0.0259,0.000628101,0.000628101,0.000628101
23,19892.2,1.14827,0.67408,0.01712,0.78014,0.81418,0.881,0.52177,1.3493,0.6863,0.02576,0.000597754,0.000597754,0.000597754
24,20769.9,1.13755,0.67432,0.01692,0.7826,0.81623,0.87955,0.52171,1.34795,0.67904,0.0257,0.00056704,0.00056704,0.00056704
25,21629.9,1.13408,0.66753,0.01687,0.78082,0.81869,0.88048,0.52265,1.34377,0.67825,0.02554,0.000536081,0.000536081,0.000536081
26,22483,1.12258,0.66534,0.01663,0.7784,0.82119,0.87968,0.52304,1.34061,0.67853,0.02545,0.000505,0.000505,0.000505
27,23345.2,1.11748,0.66101,0.01647,0.77226,0.82997,0.88006,0.52388,1.33784,0.6793,0.0254,0.000473919,0.000473919,0.000473919
28,24215.7,1.11048,0.65656,0.01639,0.77326,0.83175,0.88075,0.52445,1.33669,0.67675,0.02539,0.00044296,0.00044296,0.00044296
29,25070.5,1.10054,0.64932,0.01624,0.77799,0.82719,0.88113,0.52499,1.33527,0.67907,0.02533,0.000412246,0.000412246,0.000412246
30,25922.6,1.10095,0.64893,0.01622,0.77572,0.82834,0.87989,0.52479,1.33375,0.67827,0.02527,0.000381899,0.000381899,0.000381899
31,26775.1,1.09168,0.64474,0.01608,0.77509,0.83,0.88003,0.52502,1.33313,0.67867,0.02525,0.000352037,0.000352037,0.000352037
32,27627.9,1.08541,0.6416,0.01584,0.77112,0.83602,0.8798,0.52559,1.33174,0.67859,0.0252,0.000322778,0.000322778,0.000322778
33,28495,1.07969,0.63577,0.01576,0.77339,0.8308,0.87984,0.52604,1.33117,0.67647,0.02519,0.000294239,0.000294239,0.000294239
34,29350.7,1.07045,0.63056,0.01567,0.77431,0.8282,0.87953,0.52582,1.32938,0.67961,0.02515,0.000266532,0.000266532,0.000266532
35,30221.2,1.0607,0.62815,0.01541,0.77599,0.82298,0.87969,0.52578,1.32955,0.67799,0.02518,0.000239766,0.000239766,0.000239766
36,31060.7,1.05819,0.62881,0.01536,0.77849,0.82493,0.8801,0.5268,1.32925,0.67563,0.02516,0.000214046,0.000214046,0.000214046
37,31868.3,1.05213,0.62473,0.01525,0.78231,0.82003,0.87982,0.52674,1.32833,0.6754,0.02516,0.000189475,0.000189475,0.000189475
38,32673.8,1.05027,0.62174,0.01528,0.78302,0.81982,0.8798,0.527,1.3271,0.67697,0.02511,0.000166149,0.000166149,0.000166149
39,33537.8,1.04462,0.61551,0.01513,0.78372,0.82302,0.8806,0.52828,1.32659,0.67527,0.02511,0.000144161,0.000144161,0.000144161
40,34318.3,1.03728,0.61501,0.01498,0.78109,0.82194,0.88036,0.52813,1.32645,0.67474,0.02512,0.000123596,0.000123596,0.000123596
41,35119,1.03409,0.61371,0.01492,0.78213,0.82206,0.88058,0.52821,1.32519,0.67623,0.02508,0.000104537,0.000104537,0.000104537
42,35898.7,1.03156,0.61316,0.01491,0.78172,0.82303,0.88081,0.52779,1.32545,0.67687,0.0251,8.70577e-05,8.70577e-05,8.70577e-05
43,36677.7,1.02788,0.61115,0.01482,0.77886,0.82586,0.88074,0.52804,1.32525,0.676,0.02511,7.12282e-05,7.12282e-05,7.12282e-05
44,37456.6,1.02515,0.61121,0.01478,0.77854,0.82624,0.88077,0.52848,1.32543,0.67519,0.02512,5.71106e-05,5.71106e-05,5.71106e-05
45,38235.2,1.01983,0.61035,0.01463,0.77997,0.82482,0.88074,0.52851,1.3247,0.67436,0.02511,4.47606e-05,4.47606e-05,4.47606e-05
46,39014.9,1.02112,0.60901,0.0147,0.77995,0.82279,0.88036,0.52858,1.32398,0.67538,0.02508,3.4227e-05,3.4227e-05,3.4227e-05
47,39794.9,1.02012,0.60867,0.01465,0.78248,0.82112,0.88048,0.52878,1.32275,0.67702,0.02505,2.55513e-05,2.55513e-05,2.55513e-05
48,40574.8,1.01519,0.60647,0.01462,0.78337,0.82063,0.87972,0.52833,1.3233,0.67596,0.02508,1.87678e-05,1.87678e-05,1.87678e-05
49,41354.1,1.01734,0.60561,0.01462,0.78289,0.82032,0.87943,0.52866,1.32343,0.6743,0.02511,1.39032e-05,1.39032e-05,1.39032e-05
50,42133.9,1.01719,0.60595,0.01463,0.78604,0.81847,0.87976,0.52887,1.32276,0.67389,0.02509,1.09768e-05,1.09768e-05,1.09768e-05
