epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.494,1.56472,2.57743,0.02712,0.29779,0.28557,0.20059,0.06907,2.01481,2.86128,0.04552,0.000333064,0.000333064,0.0670266
2,779.766,1.5229,1.79299,0.02662,0.3906,0.42069,0.34504,0.14874,1.80702,2.22848,0.03973,0.000666235,0.000666235,0.0340265
3,1158.62,1.47712,1.58517,0.0255,0.51265,0.53397,0.49225,0.19762,1.8238,1.77728,0.0411,0.000998754,0.000998754,0.00102566
4,1537.28,1.45265,1.46884,0.02495,0.60417,0.59665,0.62526,0.29175,1.67999,1.37492,0.03559,0.000997803,0.000997803,0.000997803
5,1916.14,1.42501,1.37044,0.02417,0.70429,0.62092,0.69379,0.33558,1.69937,1.21749,0.03602,0.000996097,0.000996097,0.000996097
6,2294.27,1.4098,1.28666,0.02374,0.70305,0.64375,0.7271,0.37337,1.5739,1.17361,0.03206,0.000993906,0.000993906,0.000993906
7,2672.63,1.38876,1.24965,0.0231,0.72058,0.63401,0.72622,0.37052,1.57134,1.19037,0.03223,0.000991232,0.000991232,0.000991232
8,3050.52,1.38024,1.19357,0.02297,0.75281,0.67611,0.78065,0.40532,1.56029,1.03379,0.03111,0.000988079,0.000988079,0.000988079
9,3428.72,1.3615,1.16252,0.02246,0.71722,0.6907,0.76474,0.3994,1.55545,1.05418,0.03074,0.000984449,0.000984449,0.000984449
10,3807.21,1.34806,1.13724,0.02208,0.72872,0.689,0.78219,0.4085,1.53261,1.00987,0.03023,0.000980345,0.000980345,0.000980345
11,4186.17,1.34108,1.11642,0.02181,0.71597,0.73048,0.79692,0.42665,1.49387,0.99458,0.02906,0.000975773,0.000975773,0.000975773
12,4565.07,1.32137,1.09471,0.02132,0.72681,0.73401,0.80165,0.4364,1.46881,0.98031,0.0284,0.000970736,0.000970736,0.000970736
13,4942.89,1.31337,1.07671,0.02121,0.74133,0.72239,0.81255,0.44119,1.46885,0.94797,0.02862,0.000965239,0.000965239,0.000965239
14,5321.91,1.30741,1.06649,0.02102,0.71707,0.72975,0.79759,0.44439,1.45508,0.93428,0.02873,0.000959289,0.000959289,0.000959289
15,5700.39,1.29797,1.04504,0.02079,0.73368,0.73501,0.81263,0.45312,1.42686,0.92889,0.02773,0.000952889,0.000952889,0.000952889
16,6077.81,1.287,1.03633,0.02064,0.73549,0.73216,0.81345,0.45756,1.41788,0.91279,0.02756,0.000946048,0.000946048,0.000946048
17,6455.46,1.28843,1.02095,0.02054,0.71932,0.75228,0.82008,0.46534,1.40056,0.8961,0.02695,0.000938772,0.000938772,0.000938772
18,6834.29,1.28109,1.0053,0.02028,0.72981,0.73912,0.81554,0.46698,1.39813,0.88252,0.02688,0.000931067,0.000931067,0.000931067
