epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.315,1.28198,2.24643,0.02005,0.77115,0.64824,0.71929,0.34342,1.84843,3.92783,0.04129,0.000333064,0.000333064,0.0670266
2,1730.94,1.24764,2.19426,0.01947,0.77677,0.80373,0.86444,0.48124,1.47984,2.19396,0.02805,0.000665381,0.000665381,0.0340256
3,2600.21,1.20933,2.13089,0.01855,0.75716,0.8402,0.86904,0.48999,1.45537,2.15851,0.0284,0.000993638,0.000993638,0.00102054
4,3457.84,1.21833,2.13959,0.01882,0.77669,0.78761,0.8549,0.47595,1.46984,2.25802,0.02909,0.000986323,0.000986323,0.000986323
5,4316.16,1.2162,2.12394,0.01881,0.76147,0.83869,0.87057,0.49591,1.43868,2.11427,0.02819,0.000975773,0.000975773,0.000975773
6,5170.61,1.21349,2.12098,0.01865,0.76639,0.80883,0.86927,0.49802,1.42726,2.1634,0.02788,0.00096232,0.00096232,0.00096232
7,6028.63,1.21197,2.1044,0.0186,0.76245,0.82965,0.86373,0.5005,1.42144,2.14517,0.02775,0.000946048,0.000946048,0.000946048
8,6879.38,1.21278,2.08971,0.01872,0.77936,0.81259,0.8745,0.50088,1.42199,2.11151,0.02762,0.000927057,0.000927057,0.000927057
9,7709.71,1.21247,2.09635,0.01859,0.77313,0.82828,0.87716,0.49967,1.43418,2.10899,0.02773,0.000905463,0.000905463,0.000905463
10,8510.3,1.21211,2.07828,0.01861,0.77874,0.81065,0.87781,0.49799,1.42677,2.13817,0.02748,0.000881401,0.000881401,0.000881401
11,9318.9,1.20363,2.06873,0.0184,0.78654,0.81224,0.88098,0.50868,1.41467,2.12043,0.02729,0.000855018,0.000855018,0.000855018
12,10148.6,1.19344,2.07014,0.01817,0.77114,0.82854,0.87907,0.50287,1.41853,2.10462,0.02732,0.000826477,0.000826477,0.000826477
13,11022.9,1.18724,2.04278,0.01805,0.78084,0.83225,0.8858,0.51047,1.40388,2.04946,0.02738,0.000795954,0.000795954,0.000795954
14,11903.2,1.1817,2.03215,0.01798,0.77445,0.82934,0.87685,0.51089,1.37931,2.09034,0.02653,0.000763637,0.000763637,0.000763637
15,12760.6,1.17611,2.01536,0.01794,0.77397,0.8373,0.8815,0.51482,1.37243,2.07248,0.02656,0.000729725,0.000729725,0.000729725
16,13617.5,1.17333,2.01416,0.01787,0.78046,0.82936,0.88095,0.51543,1.36743,2.06167,0.02627,0.000694428,0.000694428,0.000694428
17,14474.6,1.17109,1.9979,0.01778,0.78961,0.81284,0.87838,0.51698,1.3702,2.05929,0.02642,0.000657963,0.000657963,0.000657963
18,15327.6,1.16147,1.97457,0.01748,0.78132,0.82782,0.88424,0.51822,1.37333,2.03533,0.02648,0.000620555,0.000620555,0.000620555
19,16178.9,1.15167,1.9679,0.01731,0.79057,0.81819,0.88416,0.51914,1.36891,2.02306,0.02641,0.000582435,0.000582435,0.000582435
20,17042.8,1.14691,1.96062,0.01728,0.79157,0.82613,0.88631,0.51995,1.36694,2.03848,0.0263,0.000543837,0.000543837,0.000543837
21,17908.8,1.13389,1.94627,0.017,0.79488,0.82194,0.88769,0.52225,1.36283,2.02486,0.02618,0.000505,0.000505,0.000505
22,18782.1,1.12889,1.92871,0.01684,0.79768,0.81671,0.88567,0.52272,1.36401,2.02822,0.02616,0.000466163,0.000466163,0.000466163
23,19655.9,1.1226,1.9046,0.01675,0.79447,0.82128,0.88615,0.52414,1.35994,2.02186,0.02606,0.000427565,0.000427565,0.000427565
