epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,894.743,1.32026,4.61439,0.02093,0.71644,0.70263,0.74491,0.36684,1.74485,6.58458,0.03608,0.000333064,0.000333064,0.0670266
2,1767.44,1.28767,4.49248,0.02028,0.7681,0.80909,0.86293,0.49055,1.44645,4.38374,0.02827,0.00066499,0.00066499,0.0340252
3,2621.69,1.246,4.36409,0.01938,0.74848,0.82203,0.85956,0.47315,1.48569,4.48736,0.0293,0.000991305,0.000991305,0.00101821
4,3474.95,1.25425,4.33841,0.01959,0.76665,0.7873,0.85556,0.47523,1.51405,4.59237,0.02989,0.000981104,0.000981104,0.000981104
5,4329.91,1.2637,4.32332,0.01981,0.74275,0.84068,0.85861,0.47303,1.48653,4.35523,0.02883,0.000966574,0.000966574,0.000966574
6,5183.68,1.26332,4.35133,0.01978,0.78331,0.76874,0.85706,0.47497,1.5007,4.39795,0.02903,0.000948106,0.000948106,0.000948106
7,6037.45,1.262,4.32068,0.01966,0.76174,0.81458,0.85847,0.48222,1.46871,4.41649,0.02872,0.000925857,0.000925857,0.000925857
8,6891.5,1.25142,4.25114,0.01949,0.76287,0.81078,0.86521,0.4867,1.45379,4.41076,0.02831,0.000900019,0.000900019,0.000900019
9,7746.07,1.2545,4.26868,0.01954,0.76985,0.81376,0.87417,0.49255,1.45304,4.31231,0.02849,0.000870809,0.000870809,0.000870809
10,8600.23,1.25086,4.21251,0.01954,0.77714,0.81674,0.87899,0.49804,1.4594,4.26808,0.02847,0.000838479,0.000838479,0.000838479
11,9454.76,1.24446,4.19596,0.01929,0.77977,0.81553,0.87928,0.49896,1.43935,4.19869,0.0283,0.000803304,0.000803304,0.000803304
12,10308.4,1.23876,4.18844,0.01913,0.7889,0.79787,0.87326,0.49314,1.43062,4.2475,0.02757,0.000765584,0.000765584,0.000765584
13,11163.3,1.22313,4.12742,0.01888,0.78696,0.80818,0.88287,0.49844,1.43769,4.20572,0.02801,0.00072564,0.00072564,0.00072564
14,12017.6,1.22286,4.10362,0.01887,0.78506,0.82167,0.88356,0.50521,1.42079,4.15231,0.02761,0.000683815,0.000683815,0.000683815
15,12871.9,1.21548,4.07088,0.01871,0.78068,0.82572,0.88375,0.50837,1.39847,4.15721,0.02694,0.000640463,0.000640463,0.000640463
16,13726.3,1.20598,4.06115,0.01851,0.78001,0.82154,0.88156,0.50924,1.40464,4.14296,0.02741,0.000595956,0.000595956,0.000595956
17,14580,1.20386,4.01333,0.01841,0.7767,0.82928,0.88215,0.50853,1.39581,4.16635,0.027,0.000550673,0.000550673,0.000550673
18,15434.1,1.19485,3.98623,0.01824,0.78443,0.82321,0.88242,0.50891,1.39953,4.1127,0.02695,0.000505,0.000505,0.000505
19,16288,1.17952,3.97055,0.01789,0.77937,0.83824,0.88299,0.50925,1.38883,4.13887,0.02691,0.000459327,0.000459327,0.000459327
20,17141.8,1.17477,3.91251,0.01792,0.78199,0.834,0.88252,0.50749,1.39755,4.08025,0.02731,0.000414044,0.000414044,0.000414044
21,17995.3,1.16191,3.88828,0.01754,0.79082,0.82621,0.88393,0.51449,1.38966,4.03197,0.02695,0.000369537,0.000369537,0.000369537
22,18848.9,1.15322,3.86645,0.01743,0.79289,0.82039,0.88351,0.51695,1.38203,4.0395,0.02667,0.000326185,0.000326185,0.000326185
23,19702.6,1.1503,3.81893,0.01732,0.79111,0.82647,0.88497,0.51916,1.37874,4.02399,0.02659,0.00028436,0.00028436,0.00028436
24,20556.7,1.13801,3.80397,0.01707,0.79149,0.82317,0.88612,0.52046,1.37452,4.01884,0.02639,0.000244416,0.000244416,0.000244416
25,21417.9,1.13773,3.79302,0.01707,0.79255,0.82979,0.88652,0.52087,1.37232,4.02644,0.02627,0.000206696,0.000206696,0.000206696
26,22271.8,1.13421,3.76759,0.01698,0.79186,0.82862,0.88759,0.52068,1.37055,4.03532,0.02615,0.000171521,0.000171521,0.000171521
27,23125.9,1.12312,3.75658,0.01668,0.79269,0.82553,0.88778,0.52035,1.37046,4.0335,0.02616,0.000139191,0.000139191,0.000139191
28,23979.4,1.11922,3.72554,0.01665,0.79383,0.82586,0.88815,0.52082,1.36982,4.01682,0.02614,0.000109981,0.000109981,0.000109981
29,24832.8,1.11657,3.71399,0.01656,0.79594,0.82553,0.88857,0.5213,1.36922,4.01421,0.02611,8.41425e-05,8.41425e-05,8.41425e-05
30,25686.6,1.11704,3.71364,0.01658,0.79717,0.82512,0.88865,0.52168,1.36883,4.00425,0.0261,6.18942e-05,6.18942e-05,6.18942e-05
31,26539.9,1.11154,3.68318,0.01643,0.79729,0.82182,0.88833,0.52123,1.36837,4.00711,0.02608,4.34262e-05,4.34262e-05,4.34262e-05
32,27395.5,1.11224,3.68944,0.01644,0.79792,0.81999,0.88823,0.52099,1.36711,4.00589,0.02604,2.88963e-05,2.88963e-05,2.88963e-05
33,28248.7,1.10906,3.67888,0.01645,0.79948,0.8198,0.88721,0.52082,1.3673,4.00709,0.02603,1.84283e-05,1.84283e-05,1.84283e-05
34,29102.1,1.1069,3.68052,0.01643,0.79741,0.81859,0.88809,0.52086,1.36705,4.00551,0.02604,1.21116e-05,1.21116e-05,1.21116e-05
