epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.088,1.44955,2.60485,0.02311,0.78295,0.79589,0.85665,0.47314,1.48116,2.28412,0.02719,0.000998387,0.000998387,0.00115968
2,504.467,1.35867,2.43451,0.02098,0.79748,0.77057,0.85733,0.46839,1.51985,2.27358,0.02755,0.000996097,0.000996097,0.000996097
3,763.203,1.34184,2.40789,0.02051,0.78261,0.8092,0.86714,0.47577,1.50502,2.19824,0.02751,0.000984449,0.000984449,0.000984449
4,1020.74,1.3273,2.38281,0.02045,0.7832,0.80658,0.86618,0.47283,1.51923,2.26934,0.02823,0.000965239,0.000965239,0.000965239
5,1242.85,1.31638,2.36804,0.02005,0.78082,0.81272,0.87081,0.48083,1.48379,2.20939,0.02676,0.000938772,0.000938772,0.000938772
6,1450.12,1.30111,2.32768,0.01962,0.78808,0.81335,0.87115,0.48291,1.48541,2.15557,0.02736,0.000905463,0.000905463,0.000905463
7,1655.28,1.28995,2.28601,0.01948,0.77538,0.81358,0.86643,0.48634,1.43408,2.19941,0.02655,0.000865839,0.000865839,0.000865839
8,1860.23,1.28011,2.26637,0.01924,0.79247,0.80507,0.87309,0.48922,1.44103,2.15728,0.02691,0.000820525,0.000820525,0.000820525
9,2065.45,1.26799,2.22702,0.01899,0.79401,0.81554,0.8792,0.4966,1.42831,2.1255,0.02589,0.000770234,0.000770234,0.000770234
10,2271,1.25926,2.1982,0.01893,0.80059,0.80095,0.878,0.49674,1.44029,2.13084,0.02638,0.000715761,0.000715761,0.000715761
11,2477.97,1.2519,2.17449,0.01867,0.77808,0.82433,0.87588,0.4978,1.42806,2.10633,0.02624,0.000657963,0.000657963,0.000657963
12,2706.06,1.2405,2.15985,0.01839,0.79824,0.81059,0.88418,0.50473,1.40784,2.11159,0.02569,0.000597754,0.000597754,0.000597754
13,2919.97,1.22721,2.16205,0.01805,0.79004,0.81642,0.87637,0.50288,1.39844,2.10999,0.02541,0.000536081,0.000536081,0.000536081
14,3127.1,1.21754,2.11611,0.01791,0.79691,0.82294,0.8812,0.50836,1.39088,2.12086,0.02518,0.000473919,0.000473919,0.000473919
15,3345.72,1.20998,2.09076,0.01772,0.78799,0.82111,0.88073,0.51059,1.38477,2.10461,0.02517,0.000412246,0.000412246,0.000412246
16,3656.45,1.19334,2.07346,0.01737,0.78878,0.82818,0.87999,0.51224,1.37614,2.05604,0.02479,0.000352037,0.000352037,0.000352037
17,3882.88,1.19224,2.04158,0.0174,0.78977,0.8315,0.88141,0.51581,1.3633,2.03444,0.02441,0.000294239,0.000294239,0.000294239
18,4108.17,1.18033,2.0276,0.01722,0.80073,0.81994,0.88337,0.51569,1.36622,2.0255,0.02446,0.000239766,0.000239766,0.000239766
19,4363.95,1.17537,2.02165,0.01708,0.79788,0.82048,0.88195,0.51476,1.36835,2.02687,0.02462,0.000189475,0.000189475,0.000189475
20,4615.04,1.16542,1.99815,0.0168,0.79093,0.82564,0.87909,0.51376,1.36697,2.0365,0.02461,0.000144161,0.000144161,0.000144161
21,4868.27,1.16231,2.00427,0.01673,0.78694,0.8312,0.87864,0.51333,1.36091,2.04665,0.02448,0.000104537,0.000104537,0.000104537
22,5121.43,1.15715,1.97665,0.01666,0.7912,0.82188,0.87832,0.51413,1.35834,2.04648,0.02439,7.12282e-05,7.12282e-05,7.12282e-05
23,5373.87,1.1548,1.98848,0.01664,0.79209,0.8223,0.87909,0.51541,1.35445,2.04927,0.02425,4.47606e-05,4.47606e-05,4.47606e-05
24,5626.75,1.15271,1.98119,0.01655,0.78986,0.82682,0.87926,0.51585,1.35439,2.0469,0.02424,2.55513e-05,2.55513e-05,2.55513e-05
25,5879.9,1.1546,1.97714,0.01658,0.79215,0.82732,0.87967,0.51571,1.35391,2.04531,0.02423,1.39032e-05,1.39032e-05,1.39032e-05
