epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.347,1.67212,6.17331,0.02762,0.43748,0.40922,0.35804,0.1235,2.02557,5.7383,0.0403,0.000666027,0.000666027,0.0673647
2,528.471,1.66284,4.86739,0.02771,0.58696,0.61747,0.59292,0.24778,1.83985,3.66376,0.03631,0.00133066,0.00133066,0.034696
3,781.992,1.61268,4.48735,0.02666,0.63983,0.64409,0.6528,0.28454,1.83105,3.24712,0.03499,0.00198718,0.00198718,0.00201914
4,1030.23,1.58929,4.24697,0.02619,0.67079,0.65358,0.68669,0.30904,1.75612,3.1891,0.03323,0.00197265,0.00197265,0.00197265
5,1277.7,1.55161,4.03454,0.0254,0.69356,0.67298,0.7123,0.34098,1.68452,2.76899,0.03069,0.00195155,0.00195155,0.00195155
6,1523.71,1.52668,3.88904,0.0249,0.73964,0.70938,0.74457,0.38791,1.578,2.57409,0.02794,0.00192464,0.00192464,0.00192464
7,1763.12,1.50521,3.78814,0.02422,0.71819,0.73371,0.78416,0.40935,1.58,2.40844,0.02851,0.0018921,0.0018921,0.0018921
8,2007.9,1.48878,3.66513,0.02399,0.74015,0.72957,0.78652,0.43181,1.48823,2.33825,0.02487,0.00185411,0.00185411,0.00185411
9,2255.33,1.48042,3.57233,0.02384,0.74079,0.73687,0.7985,0.43761,1.49914,2.33449,0.0256,0.00181093,0.00181093,0.00181093
10,2507.91,1.47345,3.45796,0.02361,0.76279,0.74714,0.81163,0.44239,1.52986,2.19776,0.02621,0.0017628,0.0017628,0.0017628
11,2760.35,1.45014,3.4186,0.02303,0.74814,0.74682,0.82189,0.46442,1.47363,2.08681,0.02487,0.00171004,0.00171004,0.00171004
12,3012.96,1.43772,3.35953,0.02281,0.76079,0.76854,0.82646,0.47701,1.42981,2.09512,0.02381,0.00165295,0.00165295,0.00165295
13,3256.43,1.43208,3.30945,0.02262,0.77941,0.7753,0.83501,0.48279,1.42685,2.02246,0.02321,0.00159191,0.00159191,0.00159191
14,3497.12,1.42536,3.25541,0.02245,0.76767,0.77413,0.83858,0.49072,1.38937,2.06002,0.02269,0.00152727,0.00152727,0.00152727
15,3737.65,1.41562,3.2111,0.0221,0.77098,0.79119,0.84811,0.49982,1.38341,1.97908,0.02242,0.00145945,0.00145945,0.00145945
16,3979.02,1.39808,3.15932,0.02182,0.7732,0.78358,0.84738,0.50869,1.3607,1.9645,0.02188,0.00138886,0.00138886,0.00138886
17,4219.83,1.39174,3.13507,0.02159,0.76777,0.80674,0.85318,0.51485,1.3409,1.96987,0.02152,0.00131593,0.00131593,0.00131593
18,4460.78,1.38056,3.08391,0.02145,0.77389,0.78653,0.85388,0.51757,1.33907,1.92191,0.02135,0.00124111,0.00124111,0.00124111
19,4701.93,1.36945,3.05956,0.02123,0.77449,0.7856,0.85912,0.52357,1.33284,1.90887,0.02126,0.00116487,0.00116487,0.00116487
20,4942.6,1.36362,3.01387,0.02112,0.77638,0.78267,0.85694,0.5234,1.32296,1.90699,0.02098,0.00108767,0.00108767,0.00108767
21,5183.12,1.35556,2.96239,0.0208,0.7852,0.79004,0.86203,0.52981,1.31841,1.86845,0.02071,0.00101,0.00101,0.00101
22,5424.3,1.34603,2.91999,0.02075,0.77481,0.79386,0.86038,0.53058,1.3106,1.86843,0.0205,0.000932325,0.000932325,0.000932325
23,5665.04,1.34183,2.89562,0.02069,0.78102,0.80405,0.86491,0.53425,1.31106,1.83621,0.02052,0.00085513,0.00085513,0.00085513
24,5905.47,1.32693,2.88515,0.02023,0.77043,0.81404,0.86729,0.5374,1.30202,1.82346,0.02032,0.000778889,0.000778889,0.000778889
25,6146.28,1.3224,2.83253,0.02017,0.77884,0.80623,0.86687,0.5399,1.30149,1.80977,0.02036,0.000704073,0.000704073,0.000704073
26,6386.79,1.30711,2.80951,0.01988,0.77797,0.80207,0.86835,0.54147,1.29991,1.80437,0.02034,0.000631143,0.000631143,0.000631143
27,6584.46,1.30712,2.77797,0.01978,0.77852,0.8,0.87022,0.54319,1.29608,1.8005,0.02024,0.000560549,0.000560549,0.000560549
28,6774.49,1.30815,2.76575,0.0199,0.78,0.80052,0.87143,0.54426,1.29049,1.80114,0.02013,0.000492726,0.000492726,0.000492726
29,6963.66,1.29691,2.75589,0.01956,0.78042,0.80153,0.87185,0.54483,1.28863,1.79715,0.02006,0.000428093,0.000428093,0.000428093
30,7153.75,1.28504,2.71567,0.01939,0.77799,0.8128,0.87248,0.54517,1.28578,1.79539,0.02,0.000367046,0.000367046,0.000367046
31,7351.68,1.26594,1.8019,0.01954,0.77316,0.81559,0.87296,0.54636,1.28347,1.79588,0.01995,0.000309964,0.000309964,0.000309964
32,7541.07,1.25527,1.75133,0.01927,0.77416,0.81801,0.87409,0.54752,1.28249,1.78141,0.01993,0.000257198,0.000257198,0.000257198
33,7730.8,1.24644,1.73051,0.01905,0.7731,0.81698,0.87533,0.54939,1.27853,1.77389,0.01982,0.000209073,0.000209073,0.000209073
34,7920.54,1.23408,1.71982,0.01885,0.77248,0.8203,0.87566,0.55043,1.27697,1.76436,0.01977,0.000165886,0.000165886,0.000165886
35,8110.68,1.23034,1.70461,0.01876,0.77211,0.81827,0.87602,0.55134,1.27584,1.75602,0.01974,0.000127904,0.000127904,0.000127904
36,8299.61,1.2223,1.69303,0.0186,0.77027,0.81983,0.87675,0.5523,1.27616,1.74507,0.01976,9.53593e-05,9.53593e-05,9.53593e-05
37,8489.88,1.22031,1.68195,0.01854,0.77149,0.82171,0.87704,0.5529,1.27312,1.74547,0.01967,6.8454e-05,6.8454e-05,6.8454e-05
38,8679.54,1.21527,1.67025,0.01844,0.77178,0.82099,0.87733,0.55377,1.27215,1.73613,0.01964,4.73538e-05,4.73538e-05,4.73538e-05
39,8868.95,1.21318,1.66813,0.01834,0.77078,0.82122,0.87709,0.55386,1.27109,1.73267,0.01962,3.21885e-05,3.21885e-05,3.21885e-05
40,9058.58,1.21289,1.65879,0.01836,0.77235,0.82156,0.87807,0.55495,1.26966,1.72898,0.0196,2.30518e-05,2.30518e-05,2.30518e-05
