epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.465,1.42779,3.02087,0.02217,0.74052,0.76937,0.81179,0.43482,1.53376,2.26614,0.02619,0.000333014,0.000333014,0.0670316
2,394.194,1.38026,2.93118,0.02126,0.76135,0.77273,0.84993,0.49961,1.38538,2.01405,0.02282,0.000662286,0.000662286,0.0340276
3,583.693,1.34016,2.84365,0.02035,0.78905,0.78864,0.8574,0.5063,1.37346,1.95758,0.02205,0.000975461,0.000975461,0.00100742
4,772.672,1.32872,2.85078,0.02021,0.77041,0.78727,0.86876,0.52232,1.33552,1.87615,0.02138,0.000946048,0.000946048,0.000946048
5,961.664,1.32739,2.81468,0.02026,0.77179,0.80824,0.86175,0.51808,1.35554,1.90244,0.02187,0.000905463,0.000905463,0.000905463
6,1150.8,1.32031,2.81249,0.02016,0.81039,0.78074,0.86598,0.5304,1.32845,1.81785,0.02101,0.000855018,0.000855018,0.000855018
7,1340.53,1.32241,2.78241,0.01999,0.78735,0.78883,0.86659,0.52964,1.34113,1.79599,0.02122,0.000795954,0.000795954,0.000795954
8,1529.45,1.30657,2.74493,0.01984,0.7788,0.80342,0.86857,0.53609,1.32063,1.80533,0.02093,0.000729725,0.000729725,0.000729725
9,1718.81,1.30185,2.71468,0.01984,0.79346,0.77008,0.87083,0.53984,1.30617,1.76005,0.02059,0.000657963,0.000657963,0.000657963
10,1907.54,1.29365,2.66787,0.01949,0.77168,0.82525,0.87462,0.54166,1.30085,1.77692,0.02037,0.000582435,0.000582435,0.000582435
11,2104.92,1.2691,1.76918,0.01967,0.76595,0.82185,0.876,0.54897,1.28401,1.75198,0.02004,0.000505,0.000505,0.000505
12,2294.07,1.25216,1.73219,0.01923,0.77937,0.80967,0.8803,0.55466,1.28087,1.69516,0.01984,0.000427565,0.000427565,0.000427565
13,2483.15,1.24246,1.69893,0.01902,0.7711,0.81773,0.88189,0.5594,1.27316,1.67136,0.01982,0.000352037,0.000352037,0.000352037
14,2672.2,1.22689,1.67435,0.01869,0.76878,0.832,0.88558,0.56317,1.26225,1.66539,0.01949,0.000280275,0.000280275,0.000280275
15,2861.39,1.21734,1.64983,0.01847,0.77666,0.82163,0.88875,0.5679,1.2543,1.64234,0.01935,0.000214046,0.000214046,0.000214046
16,3050.92,1.20854,1.64043,0.01825,0.77371,0.82585,0.88789,0.56884,1.25047,1.62065,0.01921,0.000154982,0.000154982,0.000154982
17,3239.48,1.20346,1.62017,0.01814,0.77647,0.82913,0.88826,0.57039,1.25223,1.60295,0.01926,0.000104537,0.000104537,0.000104537
18,3429.21,1.19697,1.60581,0.01795,0.77004,0.82878,0.88762,0.5704,1.2494,1.60233,0.01916,6.39518e-05,6.39518e-05,6.39518e-05
19,3617.33,1.1989,1.60628,0.018,0.77135,0.82156,0.8863,0.57099,1.24623,1.60339,0.01913,3.4227e-05,3.4227e-05,3.4227e-05
20,3807.4,1.19237,1.59926,0.01791,0.76742,0.82754,0.88691,0.57201,1.2453,1.6008,0.0191,1.60943e-05,1.60943e-05,1.60943e-05
