epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1614.79,1.88614,8.24746,0.03643,0.41926,0.41313,0.35873,0.13363,2.09457,6.47502,0.0483,0.000333232,0.000333232,0.06701
2,3229.59,1.75254,5.26639,0.03276,0.44726,0.52035,0.446,0.18096,1.87238,5.42217,0.04222,0.000665915,0.000665915,0.0340093
3,4867.76,1.68103,4.73917,0.0309,0.5305,0.60362,0.55262,0.23193,1.84763,4.58136,0.04257,0.000995996,0.000995996,0.00100609
4,6583.73,1.61785,4.36793,0.02925,0.5934,0.57523,0.61295,0.27247,1.72241,4.24536,0.03776,0.000991232,0.000991232,0.000991232
5,8349.25,1.56945,4.11475,0.02798,0.68722,0.62539,0.68902,0.31554,1.67095,3.83746,0.03587,0.000984449,0.000984449,0.000984449
6,9996.49,1.53718,3.92168,0.0272,0.67003,0.62502,0.68627,0.32788,1.66541,3.66252,0.03524,0.000975773,0.000975773,0.000975773
7,11625.3,1.50888,3.76738,0.02638,0.65057,0.64217,0.69859,0.32763,1.68822,3.72202,0.03759,0.000965239,0.000965239,0.000965239
8,13355.5,1.48559,3.69387,0.02591,0.7501,0.64197,0.75711,0.35994,1.65448,3.37842,0.03532,0.000952889,0.000952889,0.000952889
9,15059.1,1.4618,3.58337,0.02516,0.72781,0.65206,0.75579,0.37341,1.59608,3.36143,0.03308,0.000938772,0.000938772,0.000938772
10,16698,1.44733,3.4855,0.02468,0.77382,0.64109,0.77613,0.38412,1.63104,3.13575,0.03405,0.000922942,0.000922942,0.000922942
11,18358,1.43285,3.38827,0.02438,0.77695,0.66441,0.79235,0.39738,1.59299,2.99689,0.0335,0.000905463,0.000905463,0.000905463
12,20038.3,1.42563,3.31729,0.02423,0.76934,0.67593,0.80161,0.41651,1.54727,2.9351,0.032,0.000886404,0.000886404,0.000886404
13,21744.6,1.40484,3.29155,0.02374,0.79975,0.66036,0.80216,0.42093,1.53473,2.91222,0.03166,0.000865839,0.000865839,0.000865839
14,23414,1.39968,3.20919,0.02347,0.78514,0.68257,0.81317,0.43067,1.52758,2.81569,0.03129,0.000843851,0.000843851,0.000843851
15,25046,1.38625,3.17462,0.02324,0.77151,0.69573,0.81898,0.43544,1.51428,2.79434,0.03091,0.000820525,0.000820525,0.000820525
16,26727.7,1.37964,3.10265,0.02308,0.75913,0.70755,0.82104,0.44058,1.49921,2.7458,0.03045,0.000795954,0.000795954,0.000795954
17,28383.9,1.37087,3.08381,0.02287,0.7399,0.73218,0.82498,0.44699,1.48137,2.69416,0.03004,0.000770234,0.000770234,0.000770234
18,30057,1.34866,3.01542,0.0223,0.74551,0.73041,0.82951,0.45408,1.46067,2.68035,0.02957,0.000743468,0.000743468,0.000743468
19,31605.9,1.35171,2.91204,0.02226,0.80454,0.68954,0.83333,0.45815,1.4665,2.61289,0.02983,0.000715761,0.000715761,0.000715761
